,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration
158,2010-06-08 00:00:00+00:00,36.25,29.3,32.339584,41.808586,31.775906,35.817287,0,0,46352.594
159,2010-06-09 00:00:00+00:00,33.3,26.7,29.752085,37.2429,32.293385,34.668095,0,0,46364.38
160,2010-06-10 00:00:00+00:00,32.7,25.75,28.316666,38.195312,30.261314,33.868,0,0,46375.24
161,2010-06-11 00:00:00+00:00,27.3,25.9,26.624994,32.680763,29.547623,31.042755,0,0,46385.156
162,2010-06-12 00:00:00+00:00,32.4,26.7,28.964582,37.54315,29.38361,33.213253,0,0,46394.113
163,2010-06-13 00:00:00+00:00,33.4,26.9,29.891668,36.773056,29.423592,32.784275,0,0,46402.094
164,2010-06-14 00:00:00+00:00,32.9,27.45,29.816671,36.729767,30.819809,33.513042,0,0,46409.074
165,2010-06-15 00:00:00+00:00,34.4,27.0,29.916666,38.980003,30.776031,34.4859,0,0,46415.05
166,2010-06-16 00:00:00+00:00,32.6,27.7,29.774996,37.67031,31.31842,34.094795,0,0,46420.066
167,2010-06-17 00:00:00+00:00,33.05,26.95,29.574999,38.648777,31.606346,34.039078,0,0,46424.133
168,2010-06-18 00:00:00+00:00,32.9,27.2,29.635414,37.318596,31.498043,33.499783,0,0,46427.26
169,2010-06-19 00:00:00+00:00,33.45,27.55,29.67083,39.01907,31.409065,33.933033,0,0,46429.445
170,2010-06-20 00:00:00+00:00,33.6,27.4,29.80625,38.72811,31.32581,34.152664,0,0,46430.69
171,2010-06-21 00:00:00+00:00,33.2,26.7,29.064583,40.338768,30.862362,34.46031,0,0,46431.01
172,2010-06-22 00:00:00+00:00,33.5,26.65,30.143747,40.17186,31.026909,34.51814,0,0,46430.395
173,2010-06-23 00:00:00+00:00,34.15,27.05,30.06042,38.317398,30.280548,33.827915,0,0,46428.86
174,2010-06-24 00:00:00+00:00,33.0,27.55,29.875002,35.800552,29.77222,32.899235,0,0,46426.406
175,2010-06-25 00:00:00+00:00,34.1,27.2,29.366667,39.7915,29.64679,33.321945,0,0,46423.043
176,2010-06-26 00:00:00+00:00,34.2,27.15,30.070833,40.292496,29.997894,34.369946,0,0,46418.77
177,2010-06-27 00:00:00+00:00,34.0,27.7,30.212502,40.838753,31.130428,34.775692,0,0,46413.598
